Год,Месяц,Подразделение,Выручка,Чистая прибыль,Операционные расходы,Активы,Обязательства,Коэффициент текущей ликвидности,Доля рынка,Количество сотрудников,Рентабельность продаж,Оборачиваемость активов,Рентабельность активов,Долговая нагрузка
2018,Январь,Подразделение_1,1099632.1,223094.43,820764.06,485214.29,252181.25,2.51,10.58,287,20.29,2.27,45.98,51.97
2018,Январь,Подразделение_2,1066966.89,230313.17,779075.42,242860.05,99884.04,2.71,10.01,476,21.59,4.39,94.83,41.13
2018,Январь,Подразделение_3,1293985.21,412612.28,778219.86,383495.95,155167.25,3.28,10.47,387,31.89,3.37,107.59,40.46
2018,Январь,Подразделение_4,1093089.47,212465.82,827507.2,336821.0,148179.26,2.73,10.46,334,19.44,3.25,63.08,43.99
2018,Январь,Подразделение_5,936419.3,157485.42,739562.53,219515.48,130200.43,2.62,10.98,291,16.82,4.27,71.74,59.31
2018,Январь,Подразделение_6,2902581.999012238,670419.2220288767,805374.04,236611.47,96271.93,4.07,16.63,201,24.08,4.87,117.24,40.69
2018,Январь,Подразделение_7,1140124.7,261280.04,813524.65,262382.5,106596.21,3.59,13.95,469,22.92,4.35,99.58,40.63
2018,Январь,Подразделение_8,1381817.6,316061.71,986740.46,297962.23,150222.68,2.51,17.47,252,22.87,4.64,106.07,50.42
2018,Январь,Подразделение_9,1269400.93,282917.12,915754.53,489576.59,222855.18,3.03,10.16,208,22.29,2.59,57.79,45.52
2018,Январь,Подразделение_10,1417795.82,452441.98,852243.34,259614.7,146187.04,2.16,17.71,460,31.91,5.46,174.27,56.31
2018,Январь,Подразделение_11,1541040.7,267534.61,1206622.44,395323.11,225337.22,2.69,13.71,261,17.36,3.9,67.67,57.0
2018,Январь,Подразделение_12,1060146.66,231102.22,771268.88,418881.85,241880.21,2.64,17.13,456,21.8,2.53,55.17,57.74
2018,Январь,Подразделение_13,1377383.62,384330.07,896971.03,270795.48,110508.04,4.12,14.39,378,27.9,5.09,141.93,40.81
2018,Январь,Подразделение_14,2078813.0554774452,537845.8405768912,546963.76,390923.12,196131.66,3.31,14.1,370,26.97,2.11,56.93,50.17
2018,Январь,Подразделение_15,962448.98,215763.28,692744.88,482856.07,260238.65,2.52,12.96,333,22.42,1.99,44.68,53.9
